Year,Capital_formation,Labor_productivity,GDP_growth,Business_confidence,Private_investment,Public_investment,GFCF,Employment_rate,HCI,Real_wage,Inflation_rate,GNI,Gov_exp,Interest_rate,Exchange_rate_PHP_to_USD,CSPI
1946,,,,,,,68374.68715,,,,,,,,,
1947,,,38.4,,,,127537.1981,,,,,,,,,
1948,,,15.9,,,,151058.2807,,,,,,,,,
1949,,,6.7,,,,119698.8196,,,,,,,,,
1950,95670.14063,,7.6,,,,107590.3684,,1.28724,,,,,,,
1951,101070.9688,,10.6,,,,115410.9054,,1.31666,,,,,,,
1952,105934.6406,,6.4,,,,110635.3227,,1.34676,,,,,,,
1953,112974.0938,,8.9,,,,134608.3908,,1.37754,,,,,,,
1954,120733.4609,,7.8,,,,132752.8718,,1.40903,,,,,,,
1955,128645.9375,,6.8,,,,139705.121,,1.44124,,,,,,,
1956,135774.7188,,6.7,,,,164546.4768,88.8,1.45236,,,,,,,
1957,144740.6875,,5.3,,,,194210.9928,92.4,1.46357,,,,,,,
1958,153184.9375,,3.5,,,,187883.1971,91.8,1.47486,,3.7,,,,,
1959,163164.3438,,6.8,,,,214413.551,93.2,1.48624,,-0.8,,,,,
1960,170747.6719,,1.4,,,,190850.8381,93.7,1.49771,,5,,,,,
1961,180481.125,,5.7,,,,219236.7111,92.5,1.51684,,3.6,,,,,
1962,189606.8906,,4.8,,,,209096.7753,92,1.53621,,2,,,,,
1963,201619.7656,,7,,,,248758.4948,93.8,1.55583,,7.6,,,,,
1964,215265.2188,,3.4,,,,288937.6186,93.6,1.5757,,7.3,,,,,
1965,229643.1406,,5.3,,,,306785.095,92.8,1.59582,,1.1,,,,,
1966,243357.6563,,4.4,,,,303074.0569,92.9,1.6191,,3.5,,,,,
1967,259002.5,,5.2,,,,353137.3879,92,1.64272,,5.2,,,,,
1968,273920.9688,,5,,,,353743.9999,92.2,1.66668,,2,,,,,
1969,289248.4375,,4.7,,,,365376.6769,93.3,1.69099,,1.4,,,,,
1970,302261.8438,,3.7,,,,336402.0335,92.4,1.71405,,14.9,,,,6.43500,
1971,316847.9375,,5.4,,,,363729.3091,94.8,1.734,,20.8,,,,6.43500,
1972,331025.375,,5.4,,,,373934.6638,93.7,1.75419,,13.6,,,,6.78100,
1973,345630.7188,,8.8,,,,392234.1256,95.1,1.77461,,15.7,,,,6.73000,
1974,364635.9063,,3.4,,,,458396.4631,96,1.79527,,32.2,,,,7.06500,
1975,393897.7813,,5.5,,,,605012.2031,96.1,1.81616,,4.9,,,,7.49800,
1976,430646.5313,,8.8,,,,721719.5929,94.8,1.84539,,9.3,,,12,7.42800,
1977,466970.9375,,5.6,,,,743652.7795,94.9,1.87508,,10.1,,,12,7.37000,
1978,505985.6875,,5.2,,,,802458.4598,95.1,1.90525,,7,,,12,7.37500,
1979,550332.0625,,5.6,,,,831183.3219,95.8,1.93591,,17.4,,,14,7.41500,
1980,598669.5625,,5.2,,,,896340.5866,95.1,1.96706,,17.6,,,14,7.60000,
1981,653874.375,,3.4,,,,1005084.707,94.7,1.99973,,11.2,,610261.9669,15.33925,8.20000,
1982,710716.75,,3.7,,,,1056426.681,94.3,2.03294,,10,,656331.4664,18.12,9.17100,
1983,772513.625,,1.9,,,,1145646.222,94.2,2.0667,,9.7,,627279.9311,19.23792,14.00200,
1984,800477.375,,-7,,,,817504.8161,92.9,2.10103,,49.5,,558609.8492,28.19517,19.76000,
1985,802065.1875,,-6.9,,,,560033.7079,87.4,2.13592,,24.1,,556308.1151,28.55883,19.03200,
1986,806125.8125,,3.5,,,,565475.3743,93.3,2.15256,,1.1,,557049.7033,17.53283,20.53000,
1987,815902.5625,,4.4,,,,604393.6967,90.4,2.16932,,4.1,,580881.7889,13.36783,20.80000,740.8375
1988,836183.625,,6.7,,,,703265.5045,90.4,2.18622,,13.9,4859878.254,629765.3762,15.92142,21.33500,785.29083
1989,870623.9375,,6.2,,,,855227.7561,90.8,2.20325,89,10.7,5161641.835,670883.8603,19.01975,22.44000,1068.23833
1990,914828.625,,3.1,,,,983448.8794,91.6,2.22041,106,13.6,5408298.597,715094.4844,24.1185,28.00000,830.63667
1991,943901.625,,-0.4,,,,843922.1737,89.4,2.2441,118,19.4,5433124.954,701487.5371,23.4719,26.65000,1035.1775
1992,976158.125,-2.07608,0.4,,,,897869.0109,90.1,2.26804,118,8.6,5516671.568,695194.3012,19.49347,25.09600,1337.31083
1993,1014623.75,-0.59404,2.2,,,,976080.3278,90.7,2.29223,135,6.7,5668941.402,734341.3932,14.68282,27.69900,1897.64417
1994,1056984.25,1.77938,4.4,,,,1049010.552,90.5,2.31668,145,12.5,5930383.84,773264.8401,15.05682,24.41800,2869.58417
1995,1102221.5,2.03019,4.6,,,,1098247.226,90.5,2.34139,145,6.9,6219986.957,809765.9402,14.68221,26.21400,2592.36083
1996,1156417.75,3.07006,5.9,,,,1230197.229,91.4,2.3617,161,8.3,6670354.127,836722.864,14.83963,26.28800,3064.68
1997,1220719.25,2.2946,5.2,,,,1371353.461,91.2,2.38218,185,5.7,7018390.839,870020.4498,16.27568,39.97500,2531.7975
1998,1266595,-3.65215,-0.5,,,,1218154.196,89.7,2.40284,198,9.4,7072367.548,868274.8524,16.77748,39.05900,1847.02583
1999,1304015.625,0.03475,3.3,,,,1146308.321,90.2,2.42368,223.5,6.1,7263501.434,836752.0572,11.77625,40.31300,2171.5975
2000,1353212.375,1.27093,4.4,,1025305.844,252378.1979,1277684.042,88.8,2.4447,250,6.6,7675834.772,828733.274,10.90725,49.99800,1541.74417
2001,1394382.875,0.09377,3,-15.2,974767.2192,244811.1388,1219578.358,88.9,2.46006,265,5.4,7912931.253,817760.0388,12.40158,51.40400,1331.9125
2002,1438285.875,1.00489,3.7,19.6,1059238.902,208076.1124,1267315.014,88.6,2.47551,280,2.7,8205101.071,787837.2085,9.1345,53.09600,1204.94333
2003,1496990.75,2.39168,5.1,10.8,1169321.008,219393.1655,1388714.174,88.6,2.49105,280,2.2,8616622.588,821027.8393,9.47167,55.56900,1197.1925
2004,1559137.5,3.24047,6.6,23.8,1241361.783,207681.3964,1449043.179,88.2,2.5067,300,4.8,9173811.976,838402.307,10.079,56.26700,1621.70833
2005,1617175,2.51112,4.9,5.7,1222017.113,212691.892,1434709.005,92.2,2.52244,325,6.6,9651595.505,863359.1719,10.18492,53.06700,1983.14167
2006,1679301.125,3.56599,5.3,31.5,1222101.298,285008.2272,1507109.526,92,2.5391,350,5.5,10111317.06,968395.4359,9.77867,49.13200,2412.4175
2007,1754317.25,3.75484,6.5,45,1362512.113,310447.3166,1672959.43,92.7,2.55587,362,2.9,10747618.31,1037211.955,8.69142,41.40100,3442.92
2008,1839130.75,2.65256,4.3,5.7,1477348.809,336840.5514,1814189.361,92.6,2.56857,382,8.2,11251312.18,1042500.452,8.75117,47.48500,2587.35
2009,1924186.25,-1.2787,1.4,3.5,1444041.845,408301.0186,1852342.864,92.5,2.57998,382,4.2,11660271.76,1157604.22,8.56617,46.35600,2508.65083
2010,2040067.625,4.27164,7.3,44.7,1786684.627,435011.2744,2221695.902,92.7,2.59143,404,3.8,12482471.24,1205917.117,7.67267,43.88500,3550.925
2011,2140090.25,-0.05345,3.9,37.6,1866441.866,262895.9431,2129337.809,93,2.60487,426,4.7,12906666.61,1228900.474,6.66325,43.92800,4193.93333
2012,2259451,4.96292,6.9,44.3,2090878.053,311472.5625,2402350.615,93,2.61837,456,3.2,13807212.38,1419240.367,5.6795,41.19200,5246.31667
2013,2398919.25,4.60209,6.8,47.9,2309957.489,376788.3596,2686745.848,92.9,2.63195,466,2.6,14834129.47,1489352.942,5.76683,44.41400,6496.66667
2014,2551761,2.88641,6.3,42.8,2525694.292,375586.2444,2901280.536,93.4,2.64559,466,3.6,15749429.33,1543340.562,5.52667,44.61700,6836.185
2015,2732495.5,4.69838,6.3,46.8,2829485.365,471624.3443,3301109.709,93.7,2.65931,481,0.7,16705020.05,1665462.001,5.57825,47.16600,7398.07917
2016,2963657,4.04464,7.1,43.9,3389499.186,601253.7278,3990752.914,94.6,2.67309,491,1.3,17846473.73,1821367.162,5.642,49.81300,7282.07917
2017,3217270.75,8.80415,6.9,40.9,3721309.394,690725.9746,4412035.368,94.3,2.68695,512,2.9,19072145.67,1939879.738,5.62725,49.92300,7868.37667
2018,3504728.5,4.24205,6.3,34,4147983.408,835363.0631,4983346.471,94.7,2.70088,537,5.2,20194773.5,2199637.346,6.1185,52.72400,7708.99333
2019,3793039.75,3.1351,6.1,38.3,4379161.604,796358.3667,5175519.97,94.9,2.71488,537,2.4,21276313.94,2399867.444,7.09583,50.74400,7907.685
2020,3943967.25,-3.41753,-9.5,9.2,3041415.482,720375.8041,3761791.286,89.7,2.72895,537,2.4,18892621.53,2651875.451,7.04261,48.03600,6249.1025
2021,4124357.75,1.50301,5.7,13.2,3166368.881,965773.29,4132142.171,92.2,2.83231,537,3.9,19172440.07,2842704.756,6.07037,50.77400,6767.38333
2022,4335171,-3.61386,7.6,29.6,3448593.139,1086582.904,4535176.044,94.6,2.93958,570,5.8,21044179.29,2988608.766,5.98355,56.12000,6639.895
2023,4571109,3.21723,5.5,36.6,3714332.786,1193153.517,4907486.304,95.6,2.956,610,6,23254392.34,2998595.214,7.54326,55.56700,6429.59583
2024,,3.80353,5.7,35.6,3878024.791,1337545.417,5215570.208,96.2,,645,3.2,25023445.1,3229211.938,7.89835,58.01400,6759.58833
2025,,2.64406,4.4,28.2,4146746.08,1109430.128,5256176.208,95.8,,695,1.7,26572745.37,3499286.497,7.84015,58.80500,6122.445
2026,,,,,,,,,,755,,,,,,
2027,,,,,,,,,,,,,,,,
